spike_threshold_pct,bb_std_multiplier,sl_pct,tp_pct,position_size_pct,max_hold_hours,sharpe,return_pct,max_dd_pct,win_rate,num_trades,profit_factor,avg_win_pct,avg_loss_pct
0.5,1.0,0.005,0.025,0.005,12,1.4579,0.1532,0.0776,20.44,724,1.1066,2.1476,-0.4986
0.5,1.0,0.005,0.025,0.01,12,1.4579,0.3065,0.1553,20.44,724,1.1065,2.1476,-0.4986
0.5,1.5,0.003,0.015,0.005,12,1.454,0.0861,0.045,18.69,594,1.1187,1.4605,-0.3
0.5,1.5,0.003,0.015,0.015,12,1.454,0.2582,0.1349,18.69,594,1.1186,1.4605,-0.3
0.5,1.5,0.003,0.015,0.02,12,1.454,0.3443,0.1799,18.69,594,1.1186,1.4605,-0.3
0.5,1.5,0.003,0.015,0.01,12,1.454,0.1721,0.09,18.69,594,1.1187,1.4605,-0.3
0.75,1.0,0.003,0.025,0.01,12,1.448,0.2158,0.105,13.08,558,1.1482,2.2888,-0.3
0.75,1.0,0.003,0.025,0.02,12,1.448,0.4316,0.2099,13.08,558,1.1481,2.2888,-0.3
0.75,1.0,0.003,0.025,0.005,12,1.448,0.1079,0.0525,13.08,558,1.1483,2.2888,-0.3
0.75,1.0,0.003,0.025,0.015,12,1.448,0.3237,0.1574,13.08,558,1.1482,2.2888,-0.3
0.75,1.0,0.003,0.02,0.005,24,1.4074,0.0952,0.039,14.64,567,1.1311,1.9788,-0.3
0.75,1.0,0.003,0.025,0.015,24,1.4074,0.3174,0.1574,12.39,557,1.1444,2.4284,-0.3
0.75,1.0,0.003,0.025,0.005,24,1.4074,0.1058,0.0525,12.39,557,1.1445,2.4284,-0.3
0.75,1.0,0.003,0.025,0.01,24,1.4074,0.2116,0.105,12.39,557,1.1444,2.4284,-0.3
0.75,1.0,0.003,0.02,0.01,24,1.4074,0.1904,0.078,14.64,567,1.131,1.9788,-0.3
0.75,1.0,0.003,0.02,0.02,24,1.4074,0.3807,0.1559,14.64,567,1.1309,1.9788,-0.3
0.75,1.0,0.003,0.02,0.015,24,1.4074,0.2855,0.1169,14.64,567,1.1309,1.9788,-0.3
0.75,1.0,0.003,0.025,0.02,24,1.4074,0.4232,0.2099,12.39,557,1.1443,2.4284,-0.3
0.75,1.0,0.003,0.015,0.02,12,1.4028,0.3269,0.1559,18.72,577,1.116,1.4541,-0.3
0.75,1.0,0.003,0.015,0.015,12,1.4028,0.2452,0.1169,18.72,577,1.116,1.4541,-0.3
0.75,1.0,0.003,0.015,0.01,12,1.4028,0.1634,0.078,18.72,577,1.1161,1.4541,-0.3
0.75,1.0,0.003,0.015,0.005,12,1.4028,0.0817,0.039,18.72,577,1.1161,1.4541,-0.3
0.5,1.0,0.005,0.025,0.01,24,1.3923,0.2991,0.16,18.63,714,1.1029,2.4063,-0.4994
0.5,1.0,0.005,0.025,0.005,24,1.3923,0.1496,0.08,18.63,714,1.103,2.4063,-0.4994
0.5,1.0,0.005,0.025,0.015,24,1.3923,0.4486,0.2399,18.63,714,1.1028,2.4063,-0.4994
0.5,1.0,0.005,0.025,0.02,24,1.3923,0.5982,0.3198,18.63,714,1.1026,2.4063,-0.4994
0.75,1.0,0.003,0.025,0.01,48,1.378,0.208,0.105,12.05,556,1.1417,2.5,-0.3
0.75,1.0,0.003,0.025,0.02,48,1.378,0.4159,0.2099,12.05,556,1.1415,2.5,-0.3
0.75,1.0,0.003,0.025,0.005,48,1.378,0.104,0.0525,12.05,556,1.1417,2.5,-0.3
0.75,1.0,0.003,0.025,0.015,48,1.378,0.312,0.1574,12.05,556,1.1416,2.5,-0.3
0.75,1.0,0.003,0.02,0.01,36,1.3676,0.185,0.078,14.46,567,1.127,2.0,-0.3
0.75,1.0,0.003,0.02,0.01,48,1.3676,0.185,0.078,14.46,567,1.127,2.0,-0.3
0.75,1.0,0.003,0.02,0.005,48,1.3676,0.0925,0.039,14.46,567,1.1271,2.0,-0.3
0.75,1.0,0.003,0.02,0.005,36,1.3676,0.0925,0.039,14.46,567,1.1271,2.0,-0.3
0.75,1.0,0.003,0.02,0.02,48,1.3676,0.3699,0.1559,14.46,567,1.1269,2.0,-0.3
0.75,1.0,0.003,0.02,0.02,36,1.3676,0.3699,0.1559,14.46,567,1.1269,2.0,-0.3
0.75,1.0,0.003,0.02,0.015,48,1.3676,0.2775,0.1169,14.46,567,1.127,2.0,-0.3
0.75,1.0,0.003,0.02,0.015,36,1.3676,0.2775,0.1169,14.46,567,1.127,2.0,-0.3
0.75,1.0,0.003,0.025,0.01,36,1.3646,0.2051,0.105,12.23,556,1.14,2.4546,-0.3
0.75,1.0,0.003,0.025,0.005,36,1.3646,0.1025,0.0525,12.23,556,1.14,2.4546,-0.3
0.75,1.0,0.003,0.025,0.015,36,1.3646,0.3076,0.1574,12.23,556,1.1399,2.4546,-0.3
0.75,1.0,0.003,0.025,0.02,36,1.3646,0.4101,0.2099,12.23,556,1.1399,2.4546,-0.3
0.5,1.0,0.003,0.012,0.015,12,1.3293,0.243,0.1529,21.67,803,1.0857,1.1776,-0.3
0.5,1.0,0.003,0.012,0.02,12,1.3293,0.324,0.2038,21.67,803,1.0857,1.1776,-0.3
0.5,1.0,0.003,0.012,0.01,12,1.3293,0.162,0.102,21.67,803,1.0858,1.1776,-0.3
0.5,1.0,0.003,0.012,0.005,12,1.3293,0.081,0.051,21.67,803,1.0858,1.1776,-0.3
0.5,1.0,0.003,0.012,0.005,24,1.3206,0.0807,0.051,21.42,803,1.0852,1.1944,-0.3
0.5,1.0,0.003,0.012,0.01,24,1.3206,0.1613,0.102,21.42,803,1.0851,1.1944,-0.3
0.5,1.0,0.003,0.012,0.02,24,1.3206,0.3226,0.2038,21.42,803,1.085,1.1944,-0.3
0.5,1.0,0.003,0.012,0.015,24,1.3206,0.242,0.1529,21.42,803,1.0851,1.1944,-0.3
0.5,1.0,0.006,0.025,0.02,12,1.3185,0.5908,0.3275,23.35,698,1.0921,2.1427,-0.5976
0.5,1.0,0.006,0.025,0.015,12,1.3185,0.4431,0.2457,23.35,698,1.0922,2.1427,-0.5976
0.5,1.0,0.006,0.025,0.01,12,1.3185,0.2955,0.1639,23.35,698,1.0923,2.1427,-0.5976
0.5,1.0,0.006,0.025,0.005,12,1.3185,0.1477,0.082,23.35,698,1.0923,2.1427,-0.5976
0.5,1.0,0.005,0.025,0.005,36,1.3142,0.141,0.08,18.28,711,1.097,2.4516,-0.5
0.5,1.0,0.005,0.025,0.01,36,1.3142,0.282,0.16,18.28,711,1.0969,2.4516,-0.5
0.5,1.0,0.005,0.025,0.02,36,1.3142,0.5638,0.3198,18.28,711,1.0966,2.4516,-0.5
0.5,1.0,0.005,0.025,0.015,36,1.3142,0.4229,0.2399,18.28,711,1.0968,2.4516,-0.5
0.5,1.0,0.005,0.025,0.01,48,1.3108,0.2823,0.16,18.03,710,1.0968,2.4941,-0.5
0.5,1.0,0.005,0.025,0.02,48,1.3108,0.5645,0.3198,18.03,710,1.0966,2.4941,-0.5
0.5,1.0,0.005,0.025,0.015,48,1.3108,0.4234,0.2399,18.03,710,1.0967,2.4941,-0.5
0.5,1.0,0.005,0.025,0.005,48,1.3108,0.1412,0.08,18.03,710,1.0969,2.4941,-0.5
