spike_threshold_pct,bb_std_multiplier,sl_pct,tp_pct,position_size_pct,max_hold_hours,sharpe,return_pct,max_dd_pct,win_rate,num_trades,profit_factor,avg_win_pct,avg_loss_pct
0.5,1.5,0.003,0.025,0.01,36,0.4489,0.0603,0.2648,11.46,480,1.0472,2.4281,-0.3
0.5,3.0,0.004,0.025,0.005,12,0.4119,0.0112,0.0424,22.54,71,1.1017,1.5148,-0.4
0.5,3.0,0.004,0.025,0.015,12,0.4119,0.0335,0.1272,22.54,71,1.1016,1.5148,-0.4
0.5,3.0,0.004,0.025,0.02,12,0.4119,0.0446,0.1695,22.54,71,1.1015,1.5148,-0.4
0.5,3.0,0.004,0.025,0.01,12,0.4119,0.0223,0.0848,22.54,71,1.1016,1.5148,-0.4
0.75,1.5,0.003,0.025,0.02,48,0.3588,0.0815,0.4371,11.14,341,1.0447,2.5,-0.3
0.75,1.5,0.003,0.025,0.005,48,0.3588,0.0205,0.1094,11.14,341,1.045,2.5,-0.3
0.75,1.5,0.003,0.025,0.01,48,0.3588,0.0409,0.2188,11.14,341,1.0449,2.5,-0.3
0.75,1.5,0.003,0.025,0.015,48,0.3588,0.0612,0.328,11.14,341,1.0448,2.5,-0.3
0.75,1.5,0.003,0.025,0.01,24,0.3143,0.0356,0.224,11.14,341,1.0391,2.4862,-0.3
0.75,1.5,0.003,0.025,0.02,24,0.3143,0.071,0.4476,11.14,341,1.039,2.4862,-0.3
0.75,1.5,0.003,0.025,0.015,24,0.3143,0.0534,0.3359,11.14,341,1.0391,2.4862,-0.3
0.75,1.5,0.003,0.025,0.005,24,0.3143,0.0178,0.1121,11.14,341,1.0392,2.4862,-0.3
0.75,1.5,0.003,0.025,0.005,36,0.2766,0.0157,0.1143,11.14,341,1.0344,2.4747,-0.3
0.75,1.5,0.003,0.025,0.01,36,0.2766,0.0313,0.2284,11.14,341,1.0343,2.4747,-0.3
0.75,1.5,0.003,0.025,0.015,36,0.2766,0.0468,0.3424,11.14,341,1.0342,2.4747,-0.3
0.75,1.5,0.003,0.025,0.02,36,0.2766,0.0623,0.4563,11.14,341,1.0342,2.4747,-0.3
0.5,3.0,0.004,0.02,0.005,12,0.2632,0.0064,0.0395,23.94,71,1.0596,1.3463,-0.4
0.5,3.0,0.004,0.02,0.015,12,0.2632,0.0193,0.1184,23.94,71,1.0595,1.3463,-0.4
0.5,3.0,0.004,0.02,0.01,12,0.2632,0.0129,0.0789,23.94,71,1.0595,1.3463,-0.4
0.5,3.0,0.004,0.02,0.02,12,0.2632,0.0257,0.1578,23.94,71,1.0594,1.3463,-0.4
0.5,1.5,0.004,0.025,0.02,24,0.2599,0.0779,0.6355,14.53,468,1.0243,2.4071,-0.3994
0.5,1.5,0.004,0.025,0.005,24,0.2599,0.0196,0.1592,14.53,468,1.0246,2.4071,-0.3994
0.5,1.5,0.004,0.025,0.015,24,0.2599,0.0586,0.477,14.53,468,1.0244,2.4071,-0.3994
0.5,1.5,0.004,0.025,0.01,24,0.2599,0.0392,0.3182,14.53,468,1.0245,2.4071,-0.3994
0.5,1.0,0.004,0.015,0.015,12,0.2571,0.0523,0.1609,22.53,648,1.0174,1.3968,-0.3992
0.5,1.0,0.004,0.015,0.02,12,0.2571,0.0696,0.2145,22.53,648,1.0173,1.3968,-0.3992
0.5,1.0,0.004,0.015,0.005,12,0.2571,0.0175,0.0537,22.53,648,1.0175,1.3968,-0.3992
0.5,1.0,0.004,0.015,0.01,12,0.2571,0.035,0.1073,22.53,648,1.0174,1.3968,-0.3992
0.75,1.0,0.005,0.025,0.005,48,0.2163,0.0174,0.1399,16.95,419,1.02,2.5,-0.5
0.75,1.0,0.005,0.025,0.02,48,0.2163,0.069,0.5587,16.95,419,1.0198,2.5,-0.5
0.75,1.0,0.005,0.025,0.015,48,0.2163,0.0519,0.4193,16.95,419,1.0199,2.5,-0.5
0.75,1.0,0.005,0.025,0.01,48,0.2163,0.0347,0.2797,16.95,419,1.0199,2.5,-0.5
0.5,1.5,0.004,0.025,0.02,48,0.2028,0.0608,0.6304,14.19,465,1.019,2.465,-0.4
0.5,1.5,0.004,0.025,0.015,48,0.2028,0.0458,0.4731,14.19,465,1.0191,2.465,-0.4
0.5,1.5,0.004,0.025,0.01,48,0.2028,0.0307,0.3157,14.19,465,1.0192,2.465,-0.4
0.5,1.5,0.004,0.025,0.005,48,0.2028,0.0154,0.1579,14.19,465,1.0193,2.465,-0.4
0.5,1.5,0.003,0.025,0.005,12,0.1755,0.0113,0.1264,12.94,487,1.0178,2.0551,-0.3
0.5,1.5,0.003,0.025,0.01,12,0.1755,0.0225,0.2526,12.94,487,1.0177,2.0551,-0.3
